Order_ID,Order_Date,Ship_Date,Ship_Mode,Year_Order,Customer_ID
169999,6/19/2022,6/26/2022,Standard Class,2022,JS-15685
169971,9/4/2021,9/9/2021,Standard Class,2021,IL-15100
169957,9/26/2021,9/30/2021,Standard Class,2021,SN-20710
169943,5/19/2021,5/24/2021,Standard Class,2021,BN-11515
169922,6/11/2021,6/17/2021,Standard Class,2021,MZ-17515
169901,6/15/2022,6/19/2022,Standard Class,2022,CC-12550
169887,10/22/2021,10/22/2021,Same Day,2021,MS-17530
169852,10/21/2019,10/26/2019,Standard Class,2019,SF-20965
169838,11/25/2021,11/29/2021,Standard Class,2021,BB-11545
169824,12/12/2021,12/17/2021,Standard Class,2021,NS-18640
169803,4/6/2019,4/12/2019,Standard Class,2019,SC-20260
169796,11/9/2020,11/14/2020,Standard Class,2020,Dp-13240
169789,12/30/2019,1/4/2020,Standard Class,2019,MF-17665
169775,8/29/2019,9/2/2019,Second Class,2019,RA-19945
169740,2/20/2020,2/25/2020,Standard Class,2020,LM-17065
169733,10/22/2020,10/26/2020,Second Class,2020,GM-14500
169726,8/9/2019,8/13/2019,Standard Class,2019,JH-15985
169691,6/15/2022,6/18/2022,First Class,2022,Dp-13240
169684,10/20/2019,10/23/2019,First Class,2019,FH-14365
169677,1/13/2020,1/15/2020,Second Class,2020,KS-16300
169670,12/25/2021,12/31/2021,Standard Class,2021,JE-15715
169663,3/10/2021,3/13/2021,First Class,2021,RH-19510
169656,8/13/2020,8/16/2020,First Class,2020,EJ-13720
169649,12/9/2019,12/15/2019,Standard Class,2019,TS-21205
169642,7/27/2019,7/30/2019,Second Class,2019,BB-10990
169572,9/6/2020,9/12/2020,Standard Class,2020,AG-10525
169537,9/3/2020,9/7/2020,Second Class,2020,JH-15820
169474,2/4/2022,2/9/2022,Standard Class,2022,JF-15355
169460,4/19/2019,4/21/2019,Second Class,2019,NF-18595
169446,12/19/2019,12/25/2019,Standard Class,2019,SG-20605
169404,4/9/2022,4/14/2022,Standard Class,2022,NC-18625
169397,12/24/2020,12/27/2020,First Class,2020,JB-15925
169390,2/7/2019,2/10/2019,Second Class,2019,CS-12250
169369,12/12/2021,12/18/2021,Standard Class,2021,EC-14050
169334,10/21/2021,10/24/2021,Second Class,2021,GW-14605
169299,8/24/2020,8/26/2020,First Class,2020,DO-13435
169285,3/21/2022,3/25/2022,Standard Class,2022,RW-19690
169278,5/21/2020,5/25/2020,Standard Class,2020,ME-18010
169257,6/6/2019,6/12/2019,Standard Class,2019,SV-20785
169215,7/14/2021,7/18/2021,Second Class,2021,RE-19450
169201,9/28/2020,10/1/2020,First Class,2020,HG-14965
169194,6/20/2021,6/25/2021,Standard Class,2021,LH-16900
169166,5/9/2021,5/14/2021,Standard Class,2021,SS-20590
169103,3/8/2021,3/13/2021,Standard Class,2021,ZC-21910
169061,3/5/2019,3/8/2019,Second Class,2019,AB-10150
169054,4/22/2022,4/26/2022,Standard Class,2022,MO-17800
169040,12/6/2021,12/12/2021,Standard Class,2021,GT-14710
169033,3/30/2019,4/3/2019,Standard Class,2019,KM-16720
169026,8/8/2021,8/13/2021,Standard Class,2021,CM-12655
169019,7/26/2019,7/30/2019,Standard Class,2019,LF-17185
168984,11/26/2019,12/2/2019,Standard Class,2019,NW-18400
168956,2/16/2021,2/20/2021,Standard Class,2021,EA-14035
168935,11/27/2020,12/2/2020,Standard Class,2020,DO-13435
168921,10/20/2021,10/22/2021,First Class,2021,AG-10495
168914,5/21/2020,5/27/2020,Standard Class,2020,JE-15745
168900,5/4/2022,5/9/2022,Standard Class,2022,SH-20395
168893,11/3/2021,11/8/2021,Second Class,2021,AP-10915
168844,5/31/2021,6/6/2021,Standard Class,2021,NM-18520
168830,11/7/2021,11/13/2021,Standard Class,2021,ML-17395
168823,9/21/2019,9/24/2019,First Class,2019,MA-17560
168809,8/25/2020,8/25/2020,Same Day,2020,MC-18100
168774,9/4/2021,9/9/2021,Standard Class,2021,RP-19855
168767,4/10/2020,4/15/2020,Standard Class,2020,DM-12955
168760,9/22/2020,9/26/2020,Second Class,2020,MM-18280
168753,5/29/2021,6/1/2021,Second Class,2021,RL-19615
168746,1/27/2020,1/29/2020,Second Class,2020,SV-20365
168739,5/29/2022,6/5/2022,Standard Class,2022,HZ-14950
168732,12/10/2020,12/16/2020,Standard Class,2020,KM-16660
168704,4/13/2020,4/17/2020,Standard Class,2020,FP-14320
168690,1/7/2022,1/13/2022,Standard Class,2022,TS-21085
168634,12/6/2020,12/11/2020,Standard Class,2020,AF-10870
168620,12/24/2021,12/28/2021,Second Class,2021,RB-19795
168592,9/8/2019,9/14/2019,Standard Class,2019,DP-13390
168564,8/8/2020,8/8/2020,Same Day,2020,TT-21220
168557,9/19/2021,9/23/2021,Standard Class,2021,FH-14275
168543,7/3/2021,7/7/2021,Standard Class,2021,DK-13225
168536,12/20/2021,12/24/2021,Standard Class,2021,SC-20800
168529,10/8/2020,10/12/2020,Standard Class,2020,MB-17305
168501,11/21/2019,11/27/2019,Standard Class,2019,JK-15325
168494,12/12/2019,12/14/2019,Second Class,2019,NP-18700
168480,9/21/2020,9/27/2020,Standard Class,2020,DM-12955
168473,12/26/2019,1/1/2020,Standard Class,2019,TB-21520
168459,11/22/2020,11/27/2020,Standard Class,2020,MC-17275
168410,2/21/2021,2/26/2021,Standard Class,2021,BV-11245
168368,2/11/2019,2/15/2019,Second Class,2019,GA-14725
168361,6/21/2021,6/25/2021,Standard Class,2021,KB-16600
168354,9/19/2021,9/21/2021,First Class,2021,RH-19510
168312,3/1/2019,3/7/2019,Standard Class,2019,GW-14605
168305,11/1/2019,11/8/2019,Standard Class,2019,PL-18925
168277,5/29/2020,6/3/2020,Standard Class,2020,KB-16315
168228,4/27/2022,4/29/2022,First Class,2022,AP-10915
168207,11/2/2020,11/6/2020,Standard Class,2020,LT-17110
168193,3/6/2022,3/11/2022,Second Class,2022,RM-19750
168186,9/10/2020,9/15/2020,Standard Class,2020,AB-10150
168158,7/19/2019,7/24/2019,Standard Class,2019,EM-14140
168130,9/19/2019,9/19/2019,Same Day,2019,BS-11365
168123,3/5/2022,3/5/2022,Same Day,2022,JD-16060
168102,4/24/2022,4/30/2022,Standard Class,2022,CP-12340
