Product_ID,Category,Sub_Category,Product_Name,Sales_Value,Quantity,Discount,Profit,Order_Code,Customer_ID
TEC-PH-10002075,Technology,Phones,AT&T EL51110 DECT,378.00,3.00,0.00%,109.61,100006,DK-13375
OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",15.00,2.00,0.00%,7.49,100013,ZC-21910
OFF-PA-10000418,Office Supplies,Paper,Xerox 189,315.00,3.00,0.00%,150.98,100041,BF-10975
TEC-PH-10003012,Technology,Phones,Nortel Meridian M3904 Professional Digital phone,308.00,2.00,0.00%,89.31,100048,RS-19765
OFF-AP-10001469,Office Supplies,Appliances,Fellowes 8 Outlet Superior Workstation Surge Protector,125.00,3.00,0.00%,36.29,100055,MD-17860
TEC-PH-10004667,Technology,Phones,Cisco 8x8 Inc. 6753i IP Business Phone System,270.00,2.00,0.00%,72.89,100069,NF-18475
OFF-PA-10000241,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",25.00,1.00,20.00%,7.75,100083,CD-11980
FUR-TA-10003715,Furniture,Tables,Hon 2111 Invitation Series Corner Table,503.00,3.00,20.00%,-87.94,100090,EB-13705
TEC-PH-10002310,Technology,Phones,Plantronics Calisto P620-M USB Wireless Speakerphone System,980.00,5.00,0.00%,264.59,100097,MN-17935
FUR-CH-10004086,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,2888.00,11.00,10.00%,609.72,100111,SV-20365
FUR-CH-10004495,Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",722.00,3.00,20.00%,81.26,100146,CB-12535
TEC-AC-10001772,Technology,Accessories,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,64.00,4.00,0.00%,24.91,100153,KH-16630
OFF-LA-10002475,Office Supplies,Labels,Avery 519,29.00,5.00,20.00%,9.87,100160,CB-12025
TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,302.00,3.00,20.00%,22.68,100202,BD-11620
OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,1.00,2.00,70.00%,-0.79,100209,TD-20995
OFF-PA-10002968,Office Supplies,Paper,Xerox 1973,55.00,3.00,20.00%,17.82,100216,HJ-14875
FUR-FU-10003601,Furniture,Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",332.00,9.00,60.00%,-348.63,100223,LS-16945
TEC-PH-10004522,Technology,Phones,Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black,117.00,2.00,0.00%,29.25,100230,AA-10375
OFF-AR-10001761,Office Supplies,Art,Avery Hi-Liter Smear-Safe Highlighters,12.00,2.00,0.00%,4.20,100237,SV-20815
OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,272.00,2.00,20.00%,88.39,100244,GM-14695
OFF-SU-10000898,Office Supplies,Supplies,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",56.00,4.00,0.00%,16.12,100251,DV-13465
OFF-PA-10002259,Office Supplies,Paper,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",22.00,2.00,0.00%,10.74,100279,SW-20275
OFF-PA-10000176,Office Supplies,Paper,Xerox 1887,91.00,6.00,20.00%,31.87,100293,NF-18475
TEC-MA-10000984,Technology,Machines,Okidata MB760 Printer,4477.00,4.00,20.00%,503.64,100300,MJ-17740
OFF-PA-10002552,Office Supplies,Paper,Xerox 1958,19.00,3.00,0.00%,9.33,100307,TC-21475
TEC-MA-10003066,Technology,Machines,Wasp CCD Handheld Bar Code Reader,337.00,3.00,40.00%,44.87,100314,AS-10630
OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",4.00,1.00,20.00%,1.33,100328,JC-15340
OFF-PA-10001685,Office Supplies,Paper,Easy-staple paper,73.00,9.00,20.00%,26.47,100335,NF-18595
OFF-AP-10002191,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,24.00,2.00,80.00%,-62.38,100356,SP-20920
OFF-PA-10004733,Office Supplies,Paper,Things To Do Today Spiral Book,19.00,3.00,20.00%,6.89,100363,JM-15655
TEC-CO-10001046,Technology,Copiers,Canon Imageclass D680 Copier / Fax,2800.00,5.00,20.00%,874.99,100377,TS-21370
OFF-AR-10002135,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,386.00,8.00,0.00%,111.82,100384,NH-18610
OFF-PA-10001471,Office Supplies,Paper,Strathmore Photo Frame Cards,15.00,2.00,0.00%,6.73,100391,BW-11065
OFF-BI-10002133,Office Supplies,Binders,"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",103.00,3.00,20.00%,37.24,100398,DO-13435
OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,8.00,2.00,0.00%,3.80,100405,TS-21430
FUR-CH-10002647,Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",142.00,2.00,0.00%,35.49,100412,SR-20425
OFF-BI-10002194,Office Supplies,Binders,Cardinal Hold-It CD Pocket,5.00,3.00,80.00%,-7.90,100419,CC-12670
OFF-PA-10002870,Office Supplies,Paper,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",13.00,2.00,0.00%,5.62,100426,DC-12850
OFF-PA-10003441,Office Supplies,Paper,Xerox 226,26.00,4.00,0.00%,12.44,100433,SJ-20125
FUR-BO-10001519,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,186.00,4.00,20.00%,9.30,100454,BM-11650
FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1566.00,6.00,0.00%,407.13,100461,JO-15145
TEC-PH-10001300,Technology,Phones,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",34.00,2.00,20.00%,3.35,100468,AT-10435
TEC-AC-10003441,Technology,Accessories,Kingston Digital DataTraveler 32GB USB 2.0,27.00,2.00,20.00%,-4.75,100482,JL-15130
TEC-PH-10001835,Technology,Phones,Jawbone JAMBOX Wireless Bluetooth Speaker,632.00,4.00,0.00%,303.34,100510,HM-14860
TEC-PH-10002549,Technology,Phones,Polycom SoundPoint IP 450 VoIP phone,678.00,3.00,0.00%,176.17,100524,CM-12115
FUR-FU-10003849,Furniture,Furnishings,"DAX Metal Frame, Desktop, Stepped-Edge",24.00,3.00,60.00%,-12.75,100531,NM-18520
OFF-BI-10003638,Office Supplies,Binders,GBC Durable Plastic Covers,12.00,2.00,70.00%,-9.29,100545,IM-15070
FUR-FU-10003394,Furniture,Furnishings,"Tenex ""The Solids"" Textured Chair Mats",84.00,3.00,60.00%,-90.25,100566,JK-16120
OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",18.00,2.00,0.00%,8.22,100573,AM-10705
OFF-BI-10000069,Office Supplies,Binders,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",36.00,3.00,20.00%,11.71,100580,MK-17905
OFF-PA-10004609,Office Supplies,Paper,Xerox 221,7.00,1.00,0.00%,3.11,100587,SL-20155
OFF-ST-10002486,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,49.00,7.00,0.00%,0.98,100601,JK-15370
FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,317.00,3.00,30.00%,-18.12,100615,SJ-20215
TEC-CO-10003236,Technology,Copiers,Canon Image Class D660 Copier,960.00,2.00,20.00%,311.99,100622,DK-13090
OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,273.00,3.00,0.00%,0.00,100636,DO-13435
OFF-ST-10001780,Office Supplies,Storage,Tennsco 16-Compartment Lockers with Coat Rack,1296.00,2.00,0.00%,310.99,100650,DK-13225
FUR-CH-10003535,Furniture,Chairs,"Global Armless Task Chair, Royal Blue",110.00,2.00,10.00%,8.54,100657,SW-20245
OFF-ST-10004950,Office Supplies,Storage,"Tenex Personal Filing Tote With Secure Closure Lid, Black/Frost",112.00,9.00,20.00%,6.98,100671,CS-12490
FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,317.00,3.00,30.00%,-18.12,100678,KM-16720
OFF-PA-10001289,Office Supplies,Paper,White Computer Printout Paper by Universal,116.00,3.00,0.00%,56.98,100685,SM-20950
TEC-AC-10001314,Technology,Accessories,Case Logic 2.4GHz Wireless Keyboard,100.00,2.00,0.00%,8.00,100706,LE-16810
TEC-PH-10003963,Technology,Phones,GE 2-Jack Phone Line Splitter,494.00,4.00,40.00%,-115.35,100720,CK-12205
OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",147.00,2.00,20.00%,-29.44,100734,AC-10615
OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,59.00,8.00,0.00%,27.49,100748,RB-19795
OFF-LA-10003930,Office Supplies,Labels,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",197.00,2.00,0.00%,96.34,100762,NG-18355
TEC-AC-10002402,Technology,Accessories,Razer Kraken PRO Over Ear PC and Music Headset,256.00,4.00,20.00%,32.00,100769,TH-21550
OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",30.00,1.00,20.00%,3.80,100783,JK-16120
OFF-ST-10000689,Office Supplies,Storage,"Fellowes Strictly Business Drawer File, Letter/Legal Size",704.00,5.00,0.00%,84.51,100790,JG-15805
OFF-ST-10002444,Office Supplies,Storage,Recycled Eldon Regeneration Jumbo File,39.00,4.00,20.00%,3.93,100811,CC-12475
OFF-PA-10001125,Office Supplies,Paper,Xerox 1988,174.00,7.00,20.00%,54.22,100818,JM-15265
OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,100.00,3.00,0.00%,23.97,100825,KD-16495
FUR-TA-10004575,Furniture,Tables,Hon 5100 Series Wood Tables,728.00,5.00,50.00%,-465.57,100839,NC-18625
OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.00,2.00,80.00%,-131.12,100853,JB-15400
OFF-LA-10001982,Office Supplies,Labels,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,19.00,5.00,0.00%,9.00,100860,CS-12505
TEC-PH-10004922,Technology,Phones,RCA Visys Integrated PBX 8-Line Router,322.00,6.00,20.00%,20.10,100867,EH-14125
TEC-PH-10003273,Technology,Phones,AT&T TR1909W,302.00,3.00,20.00%,22.68,100881,DR-12940
OFF-PA-10001019,Office Supplies,Paper,Xerox 1884,48.00,3.00,20.00%,16.18,100888,MH-17455
OFF-ST-10001490,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",357.00,2.00,0.00%,107.08,100895,SV-20785
TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,431.00,5.00,20.00%,107.79,100902,CK-12595
FUR-TA-10004607,Furniture,Tables,Hon 2111 Invitation Series Straight Table,591.00,4.00,0.00%,112.35,100916,FH-14275
FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,621.00,3.00,45.00%,-248.25,100930,CS-12400
FUR-CH-10000988,Furniture,Chairs,Hon Olson Stacker Stools,563.00,5.00,20.00%,56.32,100944,EH-13765
OFF-ST-10001496,Office Supplies,Storage,Standard Rollaway File with Lock,721.00,5.00,20.00%,54.06,100951,NC-18625
FUR-FU-10003039,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",216.00,5.00,0.00%,73.32,100965,RM-19375
OFF-PA-10000357,Office Supplies,Paper,Xerox 1888,166.00,3.00,0.00%,79.89,100972,DB-13360
FUR-TA-10001095,Furniture,Tables,Chromcraft Round Conference Tables,558.00,4.00,20.00%,6.97,100993,AZ-10750
OFF-AP-10000179,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,370.00,3.00,0.00%,144.35,101000,IG-15085
TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,21.00,2.00,20.00%,6.50,101007,MS-17980
FUR-FU-10003374,Furniture,Furnishings,Electrix Fluorescent Magnifier Lamps & Weighted Base,148.00,3.00,0.00%,41.45,101014,RW-19540
FUR-FU-10004665,Furniture,Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",822.00,6.00,0.00%,213.69,101042,AB-10105
OFF-BI-10001510,Office Supplies,Binders,Deluxe Heavy-Duty Vinyl Round Ring Binder,41.00,6.00,70.00%,-34.38,101049,AS-10240
OFF-PA-10004239,Office Supplies,Paper,Xerox 1953,7.00,2.00,20.00%,2.14,101077,DB-13660
TEC-AC-10003280,Technology,Accessories,Belkin F8E887 USB Wired Ergonomic Keyboard,48.00,2.00,20.00%,0.60,101091,SW-20245
OFF-ST-10000943,Office Supplies,Storage,Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,77.00,5.00,20.00%,7.72,101126,NB-18655
OFF-AP-10004249,Office Supplies,Appliances,Staple holder,2.00,1.00,80.00%,-6.34,101147,MC-17575
OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",444.00,4.00,0.00%,8.88,101154,CM-12190
OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,100.00,3.00,0.00%,23.97,101161,BW-11110
FUR-FU-10003142,Furniture,Furnishings,"Master Big Foot Doorstop, Beige",21.00,4.00,0.00%,6.55,101168,SS-20140
OFF-ST-10004950,Office Supplies,Storage,Acco Perma 3000 Stacking Storage Drawers,101.00,6.00,20.00%,-1.26,101175,DM-12955
TEC-PH-10003589,Technology,Phones,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,43.00,3.00,20.00%,15.11,101182,KB-16405
OFF-ST-10004180,Office Supplies,Storage,Safco Commercial Shelving,93.00,2.00,0.00%,3.72,101189,JB-15400
OFF-ST-10004804,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black",82.00,2.00,20.00%,-19.56,101196,FM-14215
OFF-AR-10003560,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,10.00,2.00,20.00%,1.70,101210,DW-13540
OFF-PA-10003129,Office Supplies,Paper,Tops White Computer Printout Paper,245.00,5.00,0.00%,114.94,101245,LW-16990
